D,L,O,SC,MP,SE,MO,SW,ST,SQ
4,0,15,0,0,0,6,0,5000,1.21
10,3,11,0,1,0,7,0,5000,1.21
8,4,12,2,2,0,8,0,5000,1.21
7,2,15,10,1,0,7,0,5000,1.21
8,3,13,8,2,0,5,0,5000,1.21
9,3,12,18,2,0,4,0,5000,1.21
6,5,13,7,0,0,5,0,5000,1.21
5,4,15,14,0,0,4.5,0,5000,1.21
6,3,15,16,0,0,4.5,0,5000,1.21
5,3,16,8,0,0,4.5,0,5000,1.21
5,3,16,4,0,0,4.5,0,5000,1.21
4,4,16,2,2,0,5,0,5000,1.21
8,3,13,2,2,0,5,0,5000,1.21
5,4,15,7,1,0,4,0,5000,1.21
5,3,16,6,0,0,5,0,5000,1.21
4,4,13,2,0,0,5,0,5000,1.21
4,4,13,2,0,0,6,0,5000,1.21
5,4,13,2,0,0,5,0,5000,1.21
5,2,14,0,0,0,5,0,5000,1.21
4,3,13,0,0,0,5,0,5000,1.21
5,4,13,0,0,0,5,0,5000,1.21
5,4,14,3,0,0,4,0,5000,1.21
7,2,14,0,0,0,4,0,5000,1.21
5,5,13,11,0,0,3,0,5000,1.21
7,2,15,11,0,0,4,0,5000,1.21
7,3,14,11,4,0,3,0,5000,1.21
6,4,8,10,1,0,4.5,0,5000,1.21
5,6,9,6,3,0,4.5,0,5000,1.21
5,6,11,12,2,0,4.5,0,5000,1.21
5,5,12,9,1,0,4.5,0,5000,1.21
5,6,11,4,0,0,4.5,0,5000,1.21
5,6,11,6,0,0,4,0,5000,1.21
5,6,11,6,1,0,3,0,5000,1.21
6,5,11,4,2,0,4,0,5000,1.21
7,7,9,15,1,0,4.5,0,5000,1.21
8,2,13,50,2,0,4.5,0,5000,1.21
6,5,12,3,1,0,4.5,0,5000,1.21
6,4,10,2,1,0,4.5,0,5000,1.21
4,5,14,4,1,0,4.5,0,5000,1.21
4,5,14,2,0,0,4.5,0,5000,1.21
4,5,11,2,1,0,4.5,0,5000,1.21
5,4,12,10,1,0,4.5,0,5000,1.21
6,4,10,25,1,0,4.5,0,5000,1.21
5,3,12,5,2,0,4.5,0,5000,1.21
5,4,11,5,1,0,4.5,0,5000,1.21
6,3,14,50,1,0,4.5,0,5000,1.21
4,6,11,5,0,0,4.5,0,5000,1.21
6,4,9,2,0,0,4,0,5000,1.21
5,3,11,0,0,1,3,0,5000,1.21
6,4,12,50,2,0,4,0,5000,1.21
7,3,12,25,0,0,3,0,5000,1.21
6,3,13,25,0,0,3,0,5000,1.21
5,4,14,50,0,0,4,0,5000,1.21
5,4,14,15,0,0,4.5,0,5000,1.21
0,9,15,5,1,0,4.5,0,5000,1.21
8,3,8,10,1,0,4.5,0,5000,1.21
7,3,12,10,1,0,5,0,5000,1.21
7,2,11,5,1,0,4.5,0,5000,1.21
7,3,13,15,1,0,4,0,5000,1.21
7,3,13,10,1,0,3,0,5000,1.21
7,2,11,5,0,0,5,0,5000,1.21
4,5,10,5,0,0,5,0,5000,1.21
7,2,6,5,0,0.5,4,0,5000,1.21
6,3,11,30,0,0,3,0,5000,1.21
5,4,11,25,0,0,4,0,5000,1.21
5,4,12,30,0,0,5,0,5000,1.21
6,3,13,10,0,0,4.5,0,5000,1.21
7,2,13,20,1,0,4,0,5000,1.21
7,2,8,5,0,0,4.5,0,5000,1.21
5,4,5,0,0,0,5,0,5000,1.21
7,2,13,5,1,0,4.5,0,5000,1.21
6,3,11,5,0,0,4,0,5000,1.21
6,4,10,18,0,0,4,0,5000,1.21
6,3,11,40,0,0,4,0,5000,1.21
6,3,13,5,0,0,4,0,5000,1.21
6,7,9,25,2,0.5,4,0,5000,1.21
5,5,11,15,1,0,4,0,5000,1.21
7,3,10,25,1,0,4.5,0,5000,1.21
4,6,11,50,2,0,5,0,5000,1.21
6,2,13,10,1,0,4.5,0,5000,1.21
4,5,11,5,0,0,5,0,5000,1.21
5,4,11,10,1,0,4.5,0,5000,1.21
5,4,11,5,0,0,4,0,5000,1.21
5,5,4,15,0,0,3,0,5000,1.21
5,4,10,5,0,0,4,0,5000,1.21
5,4,9,20,1,0,4.5,0,5000,1.21
5,5,10,25,0,0,4.5,0,5000,1.21
5,6,9,25,0,0,4.5,0,5000,1.21
6,3,11,5,0,2,5,0,5000,1.21
4,4,8,0,1,1,4.5,0,5000,1.21
5,5,9,25,2,0,4.5,0,5000,1.21
5,3,12,5,1,0,4,0,5000,1.21
6,3,11,55,0,0,3,0,5000,1.21
7,2,11,15,1,0,4,0,5000,1.21
5,5,10,5,0,1.5,4.5,0,5000,1.21
6,4,8,5,0,0,4.5,0,5000,1.21
6,5,5,20,1,0.5,4.5,0,5000,1.21
6,5,9,20,1,0,4.5,0,5000,1.21
6,5,9,10,0,0,4.5,0,5000,1.21
4,4,8,20,0,0,4.5,0,5000,1.21
6,2,13,15,0,0,4.5,0,5000,1.21
6,2,12,10,0,1.5,4.5,0,5000,1.21
6,2,8,10,0,0,5,0,5000,1.21
5,4,11,5,0,2,5,0,5000,1.21
6,4,12,50,2,0,4.5,0,5000,1.21
7,2,13,35,0,0,4.5,0,5000,1.21
7,2,13,15,0,0,4.5,0,5000,1.21
5,4,13,25,1,0,4,0,5000,1.21
5,5,12,10,1,0,3,0,5000,1.21
5,4,13,55,1,0,4,0,5000,1.21
5,4,13,15,2,0,4.5,0,5000,1.21
6,4,12,50,1,0,4.5,0,5000,1.21
6,2,14,5,1,0,4.5,0,5000,1.21
5,5,12,5,1,0,4.5,0,5000,1.21
5,2,15,10,1,0,4.5,0,5000,1.21
6,3,13,30,1,0,4.5,0,5000,1.21
5,3,14,5,0,0,4,0,5000,1.21
3,5,14,10,1,2,5,0,5000,1.21
7,6,9,10,0,1,5,0,5000,1.21
7,1,14,25,0,0,5,0,5000,1.21
5,3,14,15,0,0,5,0,5000,1.21
4,4,14,15,0,0,5,0,5000,1.21
6,5,11,20,2,0,4.5,0,5000,1.21
6,3,9,20,0,0.5,5,0,5000,1.21
4,6,7,10,1,1,4.5,0,5000,1.21
5,5,10,50,2,0,4.5,15,5000,1.21
5,3,15,5,0,0,4.5,0,5000,1.21
6,5,12,0,1,0,5,0,5000,1.21
6,3,14,20,1,0,4.5,0,5000,1.21
6,3,14,5,1,0,4.5,0,5000,1.21
7,3,13,5,1,0,4.5,0,5000,1.21
5,3,15,5,2,1,4.5,15,5000,1.21
4,4,15,5,1,0.5,4.5,0,5000,1.21
5,4,14,10,0,0,4.5,0,5000,1.21
5,3,15,5,3,0,4.5,0,5000,1.21
6,3,14,20,0,0,4.5,0,5000,1.21
6,3,14,5,2,0,4.5,0,5000,1.21
6,4,13,10,2,0,4.5,0,5000,1.21
7,5,11,15,2,0,4.5,0,5000,1.21
6,5,12,15,1,0,4,0,5000,1.21
5,5,13,40,2,0,3.5,0,5000,1.21
4,4,15,5,1,0,4,0,5000,1.21
5,5,13,5,1,0,4.5,0,5000,1.21
6,2,15,5,2,0,4.5,0,5000,1.21
6,4,10,5,0,0,4.5,0,5000,1.21
6,3,11,30,3,0,4.5,0,5000,1.21
5,5,14,25,1,0,4.5,0,5000,1.21
5,4,15,5,0,0,4.5,0,5000,1.21
5,5,14,10,1,0,4.5,0,5000,1.21
5,5,14,20,1,0,4.5,0,5000,1.21
5,5,14,15,2,0,4.5,0,5000,1.21
4,4,16,5,0,0,4.5,0,5000,1.21
5,6,13,5,0,2,4.5,0,5000,1.21
3,8,13,5,0,2,4.5,0,5000,1.21
4,3,17,20,2,0,4.5,0,5000,1.21
5,6,13,30,1,0,4.5,0,5000,1.21
6,3,15,15,1,0,4.5,0,5000,1.21
6,3,15,55,1,0,4.5,0,5000,1.21
5,3,16,5,1,1,4.5,0,5000,1.21
5,6,8,5,1,1.5,4.5,0,5000,1.21
7,3,14,25,1,0,4.5,0,5000,1.21
7,4,13,5,2,0,4.5,0,5000,1.21
5,4,15,10,1,0,4.5,0,5000,1.21
6,2,16,5,0,0,4.5,0,5000,1.21
4,5,15,25,1,0,4.5,0,5000,1.21
4,3,17,5,1,0,4.5,0,5000,1.21
5,5,14,20,1,0,4.5,0,5000,1.21
6,4,14,30,1,0,4.5,0,5000,1.21
6,3,15,15,0,0,4.5,0,5000,1.21
6,2,16,15,1,0,4.5,0,5000,1.21
7,3,14,5,0,0,4.5,0,5000,1.21
6,3,15,5,1,0,4.5,0,5000,1.21
5,3,16,5,0,1.5,4.5,0,5000,1.21
4,6,14,5,2,0.5,4.5,0,5000,1.21
6,4,14,5,1,0,4.5,0,5000,1.21
4,3,17,10,0,0,4.5,0,5000,1.21
5,4,15,10,1,0,4.5,0,5000,1.21
5,3,16,15,1,0,5,0,5000,1.21
5,4,15,15,2,0,4.5,0,5000,1.21
5,3,16,5,1,0,4.5,0,5000,1.21
6,4,14,20,1,0,4,0,5000,1.21
6,4,14,5,0,1,3.5,0,5000,1.21
4,7,13,25,0,0,4,0,5000,1.21
5,4,15,10,1,0,3.5,0,5000,1.21
6,5,10,5,1,0,4,0,5000,1.21
6,4,12,5,0,0,4.5,0,5000,1.21
4,4,11,5,1,0,4.5,0,5000,1.21
6,4,12,5,2,0,4.5,0,5000,1.21
6,4,10,5,2,0,4,0,5000,1.21
7,3,12,30,0,0,3.5,0,5000,1.21
5,4,14,10,2,0,4,0,5000,1.21
6,4,13,5,1,0,4.5,0,5000,1.21
5,4,14,5,0,0,4.5,0,5000,1.21
4,4,16,5,0,1.5,4.5,0,5000,1.21
5,4,9,5,1,1,4.5,0,5000,1.21
5,4,10,20,1,0,4.5,0,5000,1.21
4,4,16,20,1,0,4.5,0,5000,1.21
5,6,12,15,1,0,4.5,0,5000,1.21
6,3,14,20,0,0,4.5,0,5000,1.21
5,4,13,15,0,1,4.5,0,5000,1.21
6,4,11,5,0,1.5,4.5,0,5000,1.21
6,5,10,35,1,0,4.5,0,5000,1.21
5,6,10,15,1,0,4.5,0,5000,1.21
5,3,11,15,0,0,4,0,5000,1.21
3,3,17,20,0,0,3.5,0,5000,1.21
6,3,14,10,3,0,3.5,0,5000,1.21
4,5,14,20,1,0,4,0,5000,1.21
3,5,14,5,1,0,4.5,0,5000,1.21
6,4,11,5,1,0,4.5,0,5000,1.21
5,4,9,5,1,0,4,0,5000,1.21
5,5,11,30,3,0,3,0,5000,1.21
7,2,13,25,0,0,4,0,5000,1.21
5,5,12,25,0,0,4,0,5000,1.21
5,4,14,35,2,0,4,0,5000,1.21
5,4,12,15,1,0,3.5,0,5000,1.21
5,5,9,5,3,0,4,0,5000,1.21
5,5,13,10,2,0,3,0,5000,1.21
6,4,13,35,0,1,4,0,5000,1.21
5,4,15,5,0,1.5,4.5,0,5000,1.21
6,4,13,10,3,0,4.5,0,5000,1.21
6,2,16,15,0,0,4.5,0,5000,1.21
5,4,11,20,0,0,4.5,0,5000,1.21
6,3,13,5,0,0,4.5,0,5000,1.21
4,3,2,5,0,0,4.5,0,26000,1.21
6,3,15,35,0,0,4.5,0,5000,1.21
6,6,12,5,0,0,4.5,0,5000,1.21
5,4,13,15,0,0,4.5,0,5000,1.21
6,4,13,15,1,0,4.5,0,5000,1.21
6,2,13,5,0,1,4.5,0,5000,1.21
6,7,7,5,1,1,4.5,0,5000,1.21
6,4,9,5,1,0,4,0,5000,1.21
4,4,15,55,2,0,3.5,0,5000,1.21
5,5,13,20,2,0,4,0,5000,1.21
6,2,14,5,0,0,4,0,5000,1.21
5,4,12,10,0,0.5,3.5,0,5000,1.21
4,5,13,10,0,0,4,0,5000,1.21
5,3,6,5,1,0,4.5,0,5000,1.21
4,7,6,15,2,0,4.5,0,21120,1.21
5,3,16,30,1,0,4.5,0,5000,1.21
5,4,14,15,0,0,4.5,0,5000,1.21
5,3,15,15,0,0,4.5,0,5000,1.21
5,3,16,10,2,0,4.5,0,5000,1.21
5,4,14,5,0,0,4.5,0,5000,1.21
7,4,8,5,1,0,4.5,0,5000,1.21
6,4,4,15,0,0,4.5,0,5000,1.21
4,4,14,20,1,0,4.5,0,5000,1.21
5,5,13,10,2,0,4.5,0,5000,1.21
6,3,14,5,2,0,4.5,0,5000,1.21
6,4,14,15,1,0,4,0,5000,1.21
6,2,15,5,0,0,3.5,0,5000,1.21
5,10,4,5,2,0,3,0,5000,1.21
7,3,6,5,1,0,3.5,0,5000,1.21
4,6,5,25,1,0,4,0,26000,1.21
6,3,11,25,1,0.5,4.5,0,5000,1.21
8,3,9,5,2,0,4.5,0,5000,1.21
6,3,8,25,1,0,4.5,0,5000,1.21
5,3,13,5,0,0,4.5,0,5000,1.21
5,2,8,5,0,0,4.5,0,5000,1.21
6,4,11,25,0,0,4.5,0,5000,1.21
6,2,15,5,0,0,4.5,0,5000,1.21
6,4,14,5,0,1,4.5,0,5000,1.21
7,4,12,5,0,0,4.5,0,5000,1.21
7,3,14,5,2,0,4.5,0,5000,1.21
6,4,13,25,1,0,4.5,0,5000,1.21
5,5,8,3,0,1,4.5,0,5000,1.21
7,6,9,10,2,1,4.5,0,5000,1.21
6,2,15,15,2,0,4,0,5000,1.21
5,3,15,3,1,0,3.5,0,5000,1.21
4,3,16,15,1,0,4,0,5000,1.21
5,3,16,3,1,0,4,0,5000,1.21
6,4,10,10,2,0,3,0,5000,1.21
5,4,11,3,2,0,3.5,0,5000,1.21
4,4,8,10,0,0,4,0,5000,1.21
5,3,15,5,2,0,4.5,0,5000,1.21
4,6,12,5,2,0,4.5,0,5000,1.21
6,2,16,25,1,0,4.5,0,5000,1.21
7,1,14,15,0,0,4.5,0,5000,1.21
6,3,15,5,0,1,4.5,0,5000,1.21
4,7,7,5,1,1,4.5,0,5000,1.21
5,3,10,5,1,0,4.5,15,5000,1.21
5,4,15,35,1,0,4,0,5000,1.21
5,3,15,15,1,0,3.5,0,5000,1.21
5,3,16,15,1,0,4,0,5000,1.21
5,3,14,5,1,0,4.5,0,5000,1.21
5,3,14,5,1,0,4.5,0,5000,1.21
5,5,7,3,1,0,4.5,0,5000,1.21
7,4,4,15,1,0,4.5,0,21120,1.21
4,5,14,10,2,0,4.5,0,5000,1.21
5,5,10,3,2,0,4.5,15,5000,1.21
6,4,14,15,0,0,4.5,0,5000,1.21
5,3,13,10,0,1,4.5,15,5000,1.21
7,5,11,3,2,0.5,4.5,0,5000,1.21
6,2,8,10,1,0,4.5,0,5000,1.21
5,5,10,25,0,0,4.5,0,5000,1.21
5,7,9,10,0,0,4.5,0,5000,1.21
6,6,9,10,0,0,4,0,5000,1.21
5,6,12,25,0,0,3.5,0,5000,1.21
6,1,10,25,0,0,4.5,0,5000,1.21
7,5,11,30,0,0,4,0,5000,1.21
5,3,7,10,2,0,4.5,0,5000,1.21
7,3,8,35,1,0,4.5,0,5000,1.21
7,4,13,10,2,0,4.5,0,5000,1.21
5,6,12,30,2,0,4.5,0,5000,1.21
5,4,14,20,2,0,4.5,0,5000,1.21
5,4,13,10,0,0,4.5,0,5000,1.21
5,5,14,30,2,0,4,0,5000,1.21
5,6,12,15,2,0,4,0,5000,1.21
6,4,9,25,1,0,4.5,0,5000,1.21
6,2,15,55,1,0,4.5,0,5000,1.21
6,3,15,15,1,0,4.5,0,5000,1.21
6,3,15,20,2,0,4.5,0,5000,1.21
6,3,14,40,0,0,4.5,0,5000,1.21
6,2,15,35,0,0,4.5,0,5000,1.21
5,4,4,5,0,1.5,4.5,0,5000,1.21
5,5,3,10,0,1,4.5,0,5000,1.21
6,3,15,55,3,0,4.5,0,5000,1.21
6,4,14,45,2,0,4.5,0,5000,1.21
6,3,15,30,1,0,4.5,0,5000,1.21
6,3,14,3,1,0,4.5,0,5000,1.21
5,5,7,3,0,0,4.5,0,5000,1.21
4,4,2,0,0,0,5,0,62000,1.21
5,5,12,0,0,0,5,0,5000,1.21
7,2,8,3,0,0,4.5,0,5000,1.21
6,3,14,15,0,0,5,0,5000,1.21
6,2,12,20,0,0,4.5,0,5000,1.21
6,2,16,25,1,0,5,0,5000,1.21
6,3,14,3,1,0,4.5,0,5000,1.21
6,2,9,3,1,0,4.5,0,14080,1.21
7,3,6,5,2,0,5,0,5000,1.21
5,3,15,3,2,0,4.5,0,5000,1.21
5,5,13,5,0,0,4.5,19,5000,1.21
5,5,14,15,0,0,4.5,0,5000,1.21
4,4,15,25,0,0,4.5,0,5000,1.21
5,4,11,3,0,0,4.5,0,14080,1.21
7,4,11,5,3,0,4,0,5000,1.21
6,4,11,15,0,0,4.5,0,5000,1.21
5,4,14,3,2,0,4,0,5000,1.21
4,5,14,20,2,0,4,0,5000,1.21
5,4,14,30,0,0,4,0,5000,1.21
5,4,13,3,0,0,4.5,0,5000,1.21
5,4,13,3,0,1,4.5,0,5000,1.21
4,8,9,3,1,1,4.5,0,5000,1.21
5,5,7,5,0,0,4.5,0,14080,1.21
6,4,13,15,3,0,4.5,0,5000,1.21
6,4,13,15,1,0,4.5,25,5000,1.21
6,2,13,15,0,0,4.5,0,5000,1.21
6,3,12,7,0,0,4.5,0,5000,1.21
5,3,15,15,0,2,4.5,0,5000,1.21
7,5,8,3,2,0,4.5,19,5000,1.21
6,5,6,15,1,0,4.5,0,5000,1.21
7,4,13,45,0,0,4.5,0,5000,1.21
5,5,13,55,4,0,4.5,20,5000,1.21
4,3,17,15,0,0,4.5,0,5000,1.21
7,3,10,20,1,0,4.5,0,5000,1.21
7,2,13,40,0,1,4.5,16,5000,1.21
6,4,12,5,0,0.5,4.5,6,5000,1.21
5,4,10,10,1,0,4.5,15,5000,1.21
5,4,15,30,1,0,4.5,0,5000,1.21
5,3,15,10,0,0,4.5,0,5000,1.21
7,2,12,30,2,0,4.5,21,5000,1.21
4,4,14,20,1,0,4.5,18,5000,1.21
5,4,10,2,0,1,4.5,0,5000,1.21
4,5,7,5,1,0.5,4.5,0,5000,1.21
4,8,8,18,0,0,4.5,21,5000,1.21
5,5,13,22,1,0,4.5,0,5000,1.21
5,4,14,20,1,0,4.5,0,5000,1.21
6,3,14,7,0,0,5,25,5000,1.21
6,2,15,15,0,0,4.5,0,5000,1.21
5,3,13,1,1,0,4.5,37,5000,1.21
6,4,7,20,1,0,5,0,5000,1.21
6,3,5,1,1,0,4.5,0,28000,1.21
7,3,13,10,2,0,4.5,20,5000,1.21
4,5,11,29,0,0,5,28,5000,1.21
6,2,12,1,1,0,4.5,21,5000,1.21
5,3,15,1,0,0,5,0,5000,1.21
7,3,11,0,0,0,4.5,0,5000,1.21
5,4,10,5,1,1,4.5,0,5000,1.21
5,4,6,8,0,0,4,16,14080,1.21
5,5,11,19,1,0,4.5,0,5000,1.21
6,4,11,15,0,0,4.5,19,5000,1.21
5,4,14,3,1,1,4,0,5000,1.21
6,4,9,1,0,0,4.5,0,5000,1.21
5,2,12,3,1,0,4.5,0,5000,1.21
8,2,8,0,2,0,4.5,25,5000,1.21
5,5,12,5,1,0,4.5,0,5000,1.21
7,3,13,15,1,0,4.5,21,5000,1.21
5,4,14,5,0,0,4.5,10,5000,1.21
5,5,10,10,1,0,4.5,0,5000,1.21
5,4,14,1,0,0,4.5,29,5000,1.21
5,4,15,1,0,1.5,4.5,0,5000,1.21
3,8,13,1,1,1.5,4.5,0,5000,1.21
6,5,10,3,0,0,4,0,5000,1.21
6,3,13,12,0,0,4,15,5000,1.21
4,4,15,3,2,0,4.5,15,5000,1.21
6,3,13,5,0,0,4.5,21,5000,1.21
5,3,13,0,0,2,4.5,0,5000,1.21
3,5,11,0,0,0,4,0,5000,0
7,4,11,0,0,0,4,17,5000,2
7,2,6,0,0,0,4.5,0,21120,2
6,2,13,15,0,0,4.5,0,5000,2
7,3,13,0,0,0,4.5,22,5000,2
6,3,14,2,1,0,4.5,0,5000,2
6,3,13,0,1,0,4.5,15,5000,1
7,2,12,10,3,0,4.5,0,5000,2
6,3,4,5,1,0,4.5,0,29000,2
6,5,1,0,0,0,4.5,0,30000,2
4,5,8,7,0,0,4.5,0,14080,0
6,3,14,3,1,0,4.5,0,5000,2
6,3,12,1,1,0,4.5,11,5000,2
5,3,14,3,1,0,4.5,15,5000,1
5,4,14,1,0,0,4.5,19,5000,1
6,3,12,0,2,0,4.5,0,5000,2
6,3,9,0,0,1,4.5,0,5000,2
5,3,10,0,1,0,4.5,2,21120,1
7,2,14,1,0,0,4.5,11,5000,2
6,2,14,0,0,0,4.5,0,5000,2
6,3,13,0,0,0,4.5,0,5000,2
5,3,12,0,1,1,4.5,15,5000,1
6,4,12,1,2,0,4.5,10,5000,1
4,5,7,0,0,0,4.5,0,5000,1
5,3,14,0,0,0,4.5,0,5000,1
6,3,14,0,2,0,4,0,5000,1
6,3,14,0,1,0,4.5,18,5000,2
6,2,15,2,0,0,4.5,18,5000,1
5,3,15,0,1,0,4.5,15,5000,1
4,5,6,0,0,0,4.5,0,30000,1
4,6,9,0,2,0,4,0,5000,1
6,3,12,0,1,0,4,18,5000,1
6,3,14,0,0,0,4.5,0,5000,1
6,3,13,1,0,0,4.5,15,5000,2
5,5,13,0,0,0,4.5,0,5000,1
5,3,11,0,0,1,4.5,10,5000,1
4,6,1,5,0,1,4.5,0,21120,1
5,5,10,10,2,0,4.5,17,5000,1
5,4,14,0,1,0,4.5,21,5000,1
4,6,12,0,0,0,4.5,12,5000,1
6,2,15,2,0,0,4.5,12,5000,2
6,2,14,0,0,0,4.5,0,5000,2
6,3,14,0,1,0,4,10,5000,2
4,5,10,3,2,0,4,0,5000,1
5,4,13,0,2,0,4,14,5000,1
4,4,15,1,1,0,3.5,8,5000,1
4,4,15,0,2,0,4,0,5000,1
6,3,12,0,1,0,4,0,5000,1
